ChildId,SchoolId,StaffId,ClassId
1B3080B7-7D68-EC11-94F6-14CB65211666,1C9665DA-5B54-EC11-9820-A04A5E920F20,6A933639-C658-EC11-94F6-14CB65211666,CA414E55-5C54-EC11-9820-A04A5E920F20
1374DD78-BC75-EC11-94F6-281878B37BDE,1C9665DA-5B54-EC11-9820-A04A5E920F20,8D943639-C658-EC11-94F6-14CB65211666,CC414E55-5C54-EC11-9820-A04A5E920F20
3E76D27F-BC75-EC11-94F6-281878B37BDE,1C9665DA-5B54-EC11-9820-A04A5E920F20,399C3639-C658-EC11-94F6-14CB65211666,CE414E55-5C54-EC11-9820-A04A5E920F20
2E78D27F-BC75-EC11-94F6-281878B37BDE,1C9665DA-5B54-EC11-9820-A04A5E920F20,4B9F3639-C658-EC11-94F6-14CB65211666,D0414E55-5C54-EC11-9820-A04A5E920F20
3DEFD18D-BC75-EC11-94F6-281878B37BDE,1C9665DA-5B54-EC11-9820-A04A5E920F20,C3AB3639-C658-EC11-94F6-14CB65211666,D2414E55-5C54-EC11-9820-A04A5E920F20
D5EF7ED2-BC75-EC11-94F6-281878B37BDE,1C9665DA-5B54-EC11-9820-A04A5E920F20,79AF3639-C658-EC11-94F6-14CB65211666,D4414E55-5C54-EC11-9820-A04A5E920F20
B65C784E-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,75B13639-C658-EC11-94F6-14CB65211666,D6414E55-5C54-EC11-9820-A04A5E920F20
27A97A4E-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,BFB33639-C658-EC11-94F6-14CB65211666,D8414E55-5C54-EC11-9820-A04A5E920F20
4DBB7A4E-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,C9B33639-C658-EC11-94F6-14CB65211666,CA414E55-5C54-EC11-9820-A04A5E920F20
A231A34E-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,24B83639-C658-EC11-94F6-14CB65211666,CC414E55-5C54-EC11-9820-A04A5E920F20
8CF5A74E-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,B6A7083F-C658-EC11-94F6-14CB65211666,CE414E55-5C54-EC11-9820-A04A5E920F20
14C7CB4E-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,BEA7083F-C658-EC11-94F6-14CB65211666,D0414E55-5C54-EC11-9820-A04A5E920F20
1514CE4E-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,C7A7083F-C658-EC11-94F6-14CB65211666,D2414E55-5C54-EC11-9820-A04A5E920F20
C71CCE4E-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,D9A7083F-C658-EC11-94F6-14CB65211666,D4414E55-5C54-EC11-9820-A04A5E920F20
6F22CE4E-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,DBA7083F-C658-EC11-94F6-14CB65211666,D6414E55-5C54-EC11-9820-A04A5E920F20
A332CE4E-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,DEA7083F-C658-EC11-94F6-14CB65211666,D8414E55-5C54-EC11-9820-A04A5E920F20
434C264F-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,E0A7083F-C658-EC11-94F6-14CB65211666,CA414E55-5C54-EC11-9820-A04A5E920F20
3353264F-EE53-EC11-9820-A04A5E920F20,1C9665DA-5B54-EC11-9820-A04A5E920F20,E5A7083F-C658-EC11-94F6-14CB65211666,CC414E55-5C54-EC11-9820-A04A5E920F20
